ID;CV_Sentences;Sentences_CV_clean;CV_Number;Sentence_line;Nb_tokens;%texte_lu;%texte_lu_fin_ligne;Is_alpha;Grammar;Label
ID20;Excellence académique en histoire, mathématiques et multimédia durant 2 années consécutives RÉFÉRENCES;Excellence académique en histoire, mathématiques et multimédia durant 2 années consécutives RÉFÉRENCES;CV_1;19;13;85.51;14.49;[True, True, True, True, False, True, True, True, True, False, True, True, True];['NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'PROPN', 'ADP', 'NUM', 'NOUN', 'ADJ', 'NOUN'];0
ID21;Marion Bardot;Marion Bardot;CV_1;20;2;86.45;13.55;[True, True];['PROPN', 'PROPN'];0
ID22;| Professeure, lycée de Condorcet Caroline Clément | Professeure, lycée Beaulieu Myriam Barbu;| Professeure, lycée de Condorcet Caroline Clément | Professeure, lycée Beaulieu Myriam Barbu;CV_1;21;15;93.46;6.54;[False, True, False, True, True, True, True, True, False, True, False, True, True, True, True];['ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'PROPN', 'PROPN', 'PROPN'];0
ID23;| Directrice, Centre scolaire de Condorcet;| Directrice, Centre scolaire de Condorcet;CV_1;22;7;96.73;3.27;[False, True, False, True, True, True, True];['ADP', 'PROPN', 'PUNCT', 'NOUN', 'ADJ', 'ADP', 'PROPN'];0
ID24;01 12 13 14 15;01 12 13 14 15;CV_1;23;5;99.07;0.93;[False, False, False, False, False];['NOUN', 'DET', 'DET', 'DET', 'DET'];0
ID25;bonjour@sitevraimentsuper.fr;bonjour@sitevraimentsuper.fr;CV_1;24;1;99.53;0.47;[False];['NOUN'];0
ID26;www.sitevraimentsuper.fr;www.sitevraimentsuper.fr;CV_1;25;1;100.00;0.00;[False];['PROPN'];0
ID27;Ananya Singh  Professeure de Lycée;Ananya Singh  Professeure de Lycée;CV_2;0;6;2.06;97.94;[True, True, False, True, True, True];['PROPN', 'PROPN', 'SPACE', 'NOUN', 'ADP', 'NOUN'];1
ID28;PROFIL;PROFIL;CV_2;1;1;2.41;97.59;[True];['NOUN'];0
ID29;PERSONNEL Je suis une éducatrice expérimentée et dévouée qui se concentre sur le soutien du développement holistique des étudiants pour leur permettre d'atteindre leur potentiel.;PERSONNEL Je suis une éducatrice expérimentée et dévouée qui se concentre sur le soutien du développement holistique des étudiants pour leur permettre d'atteindre leur potentiel.;CV_2;2;27;11.68;88.32;[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False];['NOUN', 'PRON', 'AUX', 'DET', 'NOUN', 'VERB', 'CCONJ', 'VERB', 'PRON', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'PRON', 'VERB', 'ADP', 'VERB', 'DET', 'NOUN', 'PUNCT'];0
ID30;LANGUES ET COMPÉTENCES;LANGUES ET COMPÉTENCES;CV_2;3;3;12.71;87.29;[True, True, True];['ADJ', 'CCONJ', 'ADJ'];0
ID31;• Parle couramment l'anglais, le Hindi et le Tamoul;• Parle couramment l'anglais, le Hindi et le Tamoul;CV_2;4;11;16.49;83.51;[False, True, True, False, True, False, True, True, True, True, True];['ADJ', 'NOUN', 'ADV', 'DET', 'NOUN', 'PUNCT', 'DET', 'PROPN', 'CCONJ', 'DET', 'PROPN'];0
ID32;• Très bonne communication à l'oral et à l'écrit • Experte en organisation et gestion de cours RÉALISATIONS;• Très bonne communication à l'oral et à l'écrit • Experte en organisation et gestion de cours RÉALISATIONS;CV_2;5;20;23.37;76.63;[False, True, True, True, True, False, True, True, True, False, True, False, True, True, True, True, True, True, True, True];['PUNCT', 'ADV', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'CCONJ', 'ADP', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADJ'];0
ID33;• Élaboration d'un programme de soutien par les pairs pour les aînés, améliorant le taux d'obtention de diplôme de 10 %;• Élaboration d'un programme de soutien par les pairs pour les aînés, améliorant le taux d'obtention de diplôme de 10 %;CV_2;6;24;31.62;68.38;[False, True, False, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False, True, True, True, True, False, False];['ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN'];0
ID34;•;•;CV_2;7;1;31.96;68.04;[False];['ADP'];0
ID35;Création du programme de préparation au collège pour les étudiants juniors et seniors PARCOURS SCOLAIRE;Création du programme de préparation au collège pour les étudiants juniors et seniors PARCOURS SCOLAIRE;CV_2;8;15;37.11;62.89;[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True];['NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'ADJ', 'NOUN'];0
ID36;EXPÉRIENCE EN ENSEIGNEMENT;EXPÉRIENCE EN ENSEIGNEMENT;CV_2;9;3;38.14;61.86;[True, True, True];['NOUN', 'ADP', 'NOUN'];0
ID37;Université de Condorcet Professeure de lycée MASTER EN ÉDUCATION, 2014;Université de Condorcet Professeure de lycée MASTER EN ÉDUCATION, 2014;CV_2;10;11;41.92;58.08;[True, True, True, True, True, True, True, True, True, False, False];['NOUN', 'ADP', 'PROPN', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT', 'NUM'];0
ID38;ÉCOLE SECONDAIRE DE CONDORCET 2014;ÉCOLE SECONDAIRE DE CONDORCET 2014;CV_2;11;5;43.64;56.36;[True, True, True, True, False];['NOUN', 'NOUN', 'ADP', 'NOUN', 'NUM'];0
ID39;#NOM?;#NOM?;CV_2;12;3;44.67;55.33;[False, True, True];['PUNCT', 'ADP', 'NOUN'];0
ID40;•;•;CV_2;13;1;45.02;54.98;[False];['ADP'];0
ID41;Diplômée avec Mention;Diplômée avec Mention;CV_2;14;3;46.05;53.95;[True, True, True];['NOUN', 'ADP', 'NOUN'];0
ID42;• Candidate à la meilleure thèse;• Candidate à la meilleure thèse;CV_2;15;6;48.11;51.89;[False, True, True, True, True, True];['ADJ', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN'];0
ID43;pour « Stratégies de regroupement étudiant;pour « Stratégies de regroupement étudiant;CV_2;16;6;50.17;49.83;[True, False, True, True, True, True];['ADP', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'ADJ'];0
ID44;-;-;CV_2;17;1;50.52;49.48;[False];['PUNCT'];0
ID45;enseignant;enseignant;CV_2;18;1;50.86;49.14;[True];['NOUN'];0
ID46;pour la préparation aux études postsecondaires » • Responsable, Programme de préparation au collège, 2018;pour la préparation aux études postsecondaires » • Responsable, Programme de préparation au collège, 2018;CV_2;19;17;56.70;43.30;[True, True, True, True, True, True, False, False, True, False, True, True, True, True, True, False, False];['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NUM'];0
ID47;- Présent • Directrice adjointe, Département d'études sociales, 2014;- Présent • Directrice adjointe, Département d'études sociales, 2014;CV_2;20;12;60.82;39.18;[False, True, False, True, True, False, True, False, True, True, False, False];['PUNCT', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'NUM'];0
ID48;- Aujourd'hui • Conseillère, Club Oratoire, 2014;- Aujourd'hui • Conseillère, Club Oratoire, 2014;CV_2;21;9;63.92;36.08;[False, False, False, True, False, True, True, False, False];['PUNCT', 'ADV', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'ADJ', 'PUNCT', 'NUM'];0
ID49;-;-;CV_2;22;1;64.26;35.74;[False];['PUNCT'];0
ID50;2016;2016;CV_2;23;1;64.60;35.40;[False];['NUM'];0
ID51;Institut de Condorcet Professeure de lycée INSTITUT DE CONDORCET 2012;Institut de Condorcet Professeure de lycée INSTITUT DE CONDORCET 2012;CV_2;24;10;68.04;31.96;[True, True, True, True, True, True, True, True, True, False];['PROPN', 'ADP', 'PROPN', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'NUM'];0
ID52;-2014;-2014;CV_2;25;2;68.73;31.27;[False, False];['PUNCT', 'NOUN'];0
ID53;LICENCE EN ÉDUCATION, 2011 • Diplômée avec une moyenne générale de 18/20;LICENCE EN ÉDUCATION, 2011 • Diplômée avec une moyenne générale de 18/20;CV_2;26;13;73.20;26.80;[True, True, True, False, False, False, True, True, True, True, True, True, False];['NOUN', 'ADP', 'NOUN', 'PUNCT', 'NUM', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'SPACE'];0
ID54;"• Thèse : ""Étude de l'apprentissage en ligne"" •";"• Thèse : ""Étude de l'apprentissage en ligne"" •";CV_2;27;12;77.32;22.68;[False, True, False, False, True, True, False, True, True, True, False, False];['ADJ', 'NOUN', 'PUNCT', 'PUNCT', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'ADP'];0
ID55;Tutrice et cours particuliers • Professeure de sciences sociales, 2012;Tutrice et cours particuliers • Professeure de sciences sociales, 2012;CV_2;28;11;81.10;18.90;[True, True, True, True, False, True, True, True, True, False, False];['NOUN', 'CCONJ', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'NUM'];0
ID56;- 2014 • Professeur, Anglais et littérature;- 2014 • Professeur, Anglais et littérature;CV_2;29;8;83.85;16.15;[False, False, False, True, False, True, True, True];['PUNCT', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'PROPN', 'CCONJ', 'NOUN'];0
ID57;,;,;CV_2;30;1;84.19;15.81;[False];['PUNCT'];0
ID58;2012;2012;CV_2;31;1;84.54;15.46;[False];['NUM'];0
ID59;- 2013 • Tutrice, Association des sciences sociales, 2012;- 2013 • Tutrice, Association des sciences sociales, 2012;CV_2;32;11;88.32;11.68;[False, False, False, True, False, True, True, True, True, False, False];['PUNCT', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'NUM'];0
ID60;-2013;-2013;CV_2;33;2;89.00;11.00;[False, False];['PUNCT', 'NOUN'];0
ID61;INFORMATIONS DE CONTACT 10;INFORMATIONS DE CONTACT 10;CV_2;34;4;90.38;9.62;[True, True, True, False];['NOUN', 'ADP', 'NOUN', 'NUM'];0
ID62;, rue d'Alésia 75014 Paris, France E-mail :;, rue d'Alésia 75014 Paris, France E-mail :;CV_2;35;10;93.81;6.19;[False, True, False, True, False, True, False, True, False, False];['PUNCT', 'NOUN', 'ADP', 'PROPN', 'NUM', 'PROPN', 'PUNCT', 'PROPN', 'NOUN', 'PUNCT'];0
ID63;bonjour@sitevraimentsuper.fr;bonjour@sitevraimentsuper.fr;CV_2;36;1;94.16;5.84;[False];['NOUN'];0
ID64;Téléphone Fixe :;Téléphone Fixe :;CV_2;37;3;95.19;4.81;[True, True, False];['PRON', 'VERB', 'PUNCT'];0
ID65;01 45 66 77 89;01 45 66 77 89;CV_2;38;5;96.91;3.09;[False, False, False, False, False];['NOUN', 'DET', 'DET', 'DET', 'NUM'];0
ID66;Téléphone Professionnel;Téléphone Professionnel;CV_2;39;2;97.59;2.41;[True, True];['NOUN', 'ADJ'];0
ID67;:;:;CV_2;40;1;97.94;2.06;[False];['PUNCT'];0
ID68;01 45 66 77 88 m;01 45 66 77 88 m;CV_2;41;6;100.00;0.00;[False, False, False, False, False, True];['NOUN', 'DET', 'DET', 'DET', 'NUM', 'NOUN'];0
ID69;Samira Hadid  16 place Urbain II,;Samira Hadid  16 place Urbain II,;CV_3;0;8;2.54;97.46;[True, True, False, False, True, True, True, False];['PROPN', 'PROPN', 'SPACE', 'NUM', 'NOUN', 'PROPN', 'NUM', 'PUNCT'];0
ID70;63000 Clermont;63000 Clermont;CV_3;1;2;3.17;96.83;[False, True];['NUM', 'PROPN'];1
ID71;-;-;CV_3;2;1;3.49;96.51;[False];['PUNCT'];0
ID72;Ferrand;Ferrand;CV_3;3;1;3.81;96.19;[True];['PROPN'];0
ID73;,;,;CV_3;4;1;4.13;95.87;[False];['PUNCT'];0
ID74;4;4;CV_3;5;1;4.44;95.56;[False];['NOUN'];0
ID75;-73;-73;CV_3;6;2;5.08;94.92;[False];['PROPN'];0
ID76;-25;-25;CV_3;7;2;5.71;94.29;[False];['SPACE'];0
ID77;-;-;CV_3;8;1;6.03;93.97;[False];['PUNCT'];0
ID78;68;68;CV_3;9;1;6.35;93.65;[False];['NUM'];0
ID79;-;-;CV_3;10;1;6.67;93.33;[False];['PUNCT'];0
ID80;89;89;CV_3;11;1;6.98;93.02;[False];['NUM'];0
ID81;bonjour@canvasupersite.fr www.canvasupersite.fr;bonjour@canvasupersite.fr www.canvasupersite.fr;CV_3;12;2;7.62;92.38;[False, False];['NOUN', 'PROPN'];0
ID82;@canvasupersite.fr;@canvasupersite.fr;CV_3;13;1;7.94;92.06;[False];['PROPN'];0
ID83;Directrice marketing;Directrice marketing;CV_3;14;2;8.57;91.43;[True, True];['NOUN', 'PROPN'];0
ID84;axée sur les résultats avec plus de 10 ans d'expérience grâce à des solutions marketing efficaces pour stimuler la croissance des ventes et renforcer l'équité de la marque auprès des clients.;axée sur les résultats avec plus de 10 ans d'expérience grâce à des solutions marketing efficaces pour stimuler la croissance des ventes et renforcer l'équité de la marque auprès des clients.;CV_3;15;34;19.37;80.63;[True, True, True, True, True, True, True, False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False];['VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'ADV', 'ADP', 'NUM', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADJ', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADV', 'ADP', 'NOUN', 'PUNCT'];0
ID85;Planification et supervision de la stratégie marketing globale sur diverses plateformes.;Planification et supervision de la stratégie marketing globale sur diverses plateformes.;CV_3;16;12;23.17;76.83;[True, True, True, True, True, True, True, True, True, True, True, False];['NOUN', 'CCONJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PROPN', 'ADJ', 'ADP', 'ADJ', 'NOUN', 'PUNCT'];0
ID86;Spécialiste en mise en cuvre et gestion de projet;Spécialiste en mise en cuvre et gestion de projet;CV_3;17;9;26.03;73.97;[True, True, True, True, True, True, True, True, True];['NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN'];0
ID87;Formation;Formation;CV_3;18;1;26.35;73.65;[True];['NOUN'];0
ID88;Scolaire;Scolaire;CV_3;19;1;26.67;73.33;[True];['ADJ'];0
ID89;Expérience Professionnelle Directrice du marketing Agence Stratégie Numérique de mai 2018 à aujourd'hui Supervision des stratégies de marketing numérique et gestion des opérations quotidiennes de l'agence Université ParisDauphine;Expérience Professionnelle Directrice du marketing Agence Stratégie Numérique de mai 2018 à aujourd'hui Supervision des stratégies de marketing numérique et gestion des opérations quotidiennes de l'agence Université ParisDauphine;CV_3;20;29;35.87;64.13;[True, True, True, True, True, True, True, True, True, True, False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True];['NOUN', 'ADJ', 'NOUN', 'ADP', 'X', 'NOUN', 'NOUN', 'PROPN', 'ADP', 'NOUN', 'NUM', 'ADP', 'ADV', 'NOUN', 'ADP', 'NOUN', 'ADP', 'SPACE', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'NOUN', 'SPACE'];0
ID90;Paris;Paris;CV_3;21;1;36.19;63.81;[True];['PROPN'];0
ID91;Master en communication marketing intégrée;Master en communication marketing intégrée;CV_3;22;5;37.78;62.22;[True, True, True, True, True];['NOUN', 'ADP', 'NOUN', 'PROPN', 'VERB'];0
ID92;2021 Major de promotion Prix du meilleur mémoire de master Université d'Angers Angers;2021 Major de promotion Prix du meilleur mémoire de master Université d'Angers Angers;CV_3;23;14;42.22;57.78;[False, True, True, True, True, True, True, True, True, True, True, False, True, True];['NUM', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'PROPN'];0
ID93;Licence de gestion marketing 2014;Licence de gestion marketing 2014;CV_3;24;5;43.81;56.19;[True, True, True, True, False];['NOUN', 'ADP', 'NOUN', 'PROPN', 'NOUN'];0
ID94;Major de promotion;Major de promotion;CV_3;25;3;44.76;55.24;[True, True, True];['NOUN', 'ADP', 'NOUN'];0
ID95;Tableau d'honneur Directrice des réseaux sociaux Cosmétiques;Tableau d'honneur Directrice des réseaux sociaux Cosmétiques;CV_3;26;8;47.30;52.70;[True, False, True, True, True, True, True, True];['NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADJ'];0
ID96;Mine éclatante de décembre 2016;Mine éclatante de décembre 2016;CV_3;27;5;48.89;51.11;[True, True, True, True, False];['NOUN', 'ADJ', 'ADP', 'NOUN', 'NUM'];0
ID97;à mai 2018;à mai 2018;CV_3;28;3;49.84;50.16;[True, True, False];['ADP', 'NOUN', 'NUM'];0
ID98;Collecte et analyse de données pour les produits.;Collecte et analyse de données pour les produits.;CV_3;29;9;52.70;47.30;[True, True, True, True, True, True, True, True, False];['NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT'];0
ID99;Gestion des comptes officiels pour l'entreprise sur les réseaux sociaux.;Gestion des comptes officiels pour l'entreprise sur les réseaux sociaux.;CV_3;30;12;56.51;43.49;[True, True, True, True, True, False, True, True, True, True, True, False];['NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT'];0
ID100;Responsable de l'équipe de marketing numérique Stylos, Papier et Cie.;Responsable de l'équipe de marketing numérique Stylos, Papier et Cie.;CV_3;31;13;60.63;39.37;[True, True, False, True, True, True, True, True, False, True, True, True, False];['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'SPACE', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT'];0
ID101;de juillet 2014 à novembre 2016 Planification et mise en œuvre de stratégies de marketing numérique qui ont augmenté le trafic organique du site de 150 %.;de juillet 2014 à novembre 2016 Planification et mise en œuvre de stratégies de marketing numérique qui ont augmenté le trafic organique du site de 150 %.;CV_3;32;28;69.52;30.48;[True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False];['ADP', 'NOUN', 'NUM', 'ADP', 'NOUN', 'NUM', 'NOUN', 'CCONJ', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'SPACE', 'NOUN', 'PRON', 'AUX', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN', 'PUNCT'];0
ID102;Compétences et savoir-faire Bénévolat et homologation Directrice du marketing numérique • Marketing sur les réseaux sociaux •;Compétences et savoir-faire Bénévolat et homologation Directrice du marketing numérique • Marketing sur les réseaux sociaux •;CV_3;33;19;75.56;24.44;[True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False];['NOUN', 'CCONJ', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'ADP', 'SPACE', 'NOUN', 'ADJ', 'PROPN', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADP'];0
ID103;Compétences en communication interpersonnelle;Compétences en communication interpersonnelle;CV_3;34;4;76.83;23.17;[True, True, True, True];['NOUN', 'ADP', 'NOUN', 'ADJ'];0
ID104;• Parle couramment l'arabe et bonne connaissance de l'anglais Fondation pour les enfants de Condorcet de janvier 2016 à août 2019;• Parle couramment l'arabe et bonne connaissance de l'anglais Fondation pour les enfants de Condorcet de janvier 2016 à août 2019;CV_3;35;23;84.13;15.87;[False, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, False, True, True, False];['ADJ', 'NOUN', 'ADV', 'DET', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'NUM', 'ADP', 'NOUN', 'NUM'];0
ID105;Participation bénévole à la gestion des comptes sur les réseaux sociaux et réalisation Conduite de ses efforts de marketing numérique.;Participation bénévole à la gestion des comptes sur les réseaux sociaux et réalisation Conduite de ses efforts de marketing numérique.;CV_3;36;21;90.79;9.21;[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False];['NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'CCONJ', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'SPACE', 'NOUN', 'PUNCT'];0
