Sentences_CV_clean;True_Label;Label_Pred;Diff
Le pêché révélé {Productions Ajaccio, 2015  J'ai écrit la totalité du scénario et j'ai dirigé plus de 30 acteurs et actrices dans la pièce primée.;0;0;0
- Création d'outils de processus de publication automatisés  ;0;0;0
Je suis intéressée par des rôles qui mettent en évidence la complexité féminine.;0;0;0
+ Modifie des photos pour des clients, des magazines et des réseaux sociaux.;0;0;0
-;0;0;0
01 23 56 89 65;0;0;0
Master en communication marketing intégrée Université de Rouen  ;0;0;0
Éducation;0;0;0
Je crée des concepts visuels, à la main ou à l'aide d'un logiciel informatique, pour communiquer des idées qui inspirent, informent ou captivent les consommateurs.;0;0;0
Photoshop;0;0;0
| juin 2018  ;0;0;0
BTPro;0;0;0
Dramaturge Productions de théâtre Polichinelle 2010 - 2015  ;0;0;0
- Anglais : Compétences professionnelles;0;0;0
- Aujourd'hui  ;0;0;0
7 NU;0;0;0
Images;0;0;0
- Bénéficiaire de la bourse de Condorcet  Lycée Descartes  Major de Promotion 2012  ;0;0;0
Danse;0;0;0
Vente stratégique et sociale •;0;0;0
Adobe Photoshop RS;0;0;0
Master en Actorat;0;0;0
STUDIOS;0;0;0
GRAPHISTE SENIOR  + Travail en étroite collaboration avec l'équipe marketing pour produire des concepts pour les clients.;0;0;0
2018 à 2020  ;0;0;0
- Diplômé avec mention  ;0;0;0
DESIGNER GRAPHIQUE;0;0;0
- Présent + Directrice adjointe, Département d'études sociales, 2014;0;0;0
J'adore créer des campagnes marketing efficaces pour les produits auxquels je crois.;0;0;0
Je suis un étudiant passionné par le football et je compte bien faire carrière dans ce secteur.;0;0;0
-;0;0;0
+ Planification et coordination des initiatives de RP, des événements commerciaux, et plus encore.  FORMATION  Université de Nantes  DU en gestion des entreprises , classe de 2009  + Secrétaire du club de marketing de l'Université de Nantes + _ Membre et collaboratrice au journal Le Pont de Nantes + Membre du Club des écrivains  Lycée de Saint-Denis  ;0;0;0
Abstract;0;0;0
- décembre 2017  Master en administration des affaires;0;0;0
UNIVERSITÉ CONDORCET  AB en journalisme;0;0;0
2011;0;0;0
-FAIRE  + Compétences en communication et relations interpersonnelles  ;0;0;0
- Musique classique     Lycéenne  ;0;0;0
ÉDUCATION $ 202;0;0;0
- 2016  - Licence en anthropologie avec une sous-spécialité en sociologie;0;0;0
EXPÉRIENCE PERSONNELLE  ;0;0;0
Second de promotion  ;0;0;0
 ;0;0;0
| de 2014 à 2015  ;0;0;0
PROMO 2015  ;0;0;0
Artiste en chef, la gazette de Condorcet  ;0;0;0
A étudié l'écriture de scénario et la répétition pour 3 rôles en un an •;0;0;0
- Rédiger et corriger des articles pour le journal communautaire  - Fournir une direction éditoriale pour les articles et les colonnes;0;0;0
- Trésorier du conseil des étudiants, 2010  ;0;0;0
SOCIAUX  ;0;0;0
DE PREMIERS SECOURS ET RCP  DE L'INSTITUT DE SANTÉ DE TOULON  ;0;0;0
- Gestion de la classe  = Supervision et conseils pour les activités extra-scolaires  ;0;0;0
Je suis une ingénieur en informatique avec plus de vingt ans d'expérience dans le secteur de la technologie, qui peut fournir une expertise précieuse pour les entreprises qui démarrent.  ;0;0;0
-Dauphine  Diplômée de L'École de Tourisme de Condorcet;0;0;0
- Gestion des réseaux sociaux  ;0;0;0
Spécialiste;0;0;0
Analytics «+ Stratégie réseaux sociaux + Marketing  + Contenu;0;0;0
Supervise de nombreuses expériences hebdomadaires utilisant l'équipement de l'Université.;0;0;0
Courriel : bonjouresupersite.fr  ;0;0;0
- Réalisation d'une série d'ateliers axés sur des genres différents;0;0;0
T E N;0;0;0
ET NT];0;0;0
SCAN;0;0;0
La marque Sainte-Clémence, 2015-2016  + Gestion de l'inventaire hebdomadaire + Gestion des espèces + Conception et mise en œuvre des stratégies pour minimiser les coûts du magasin et augmenter le profit  FORMATION  Université de Saint-Denis  Maîtrise en gestion de produit et de marque, 2016  ;0;0;0
EU  ;0;0;0
Diplôme du lycée Condorcet Juillet 2025 Tuteur académique à temps partiel;0;0;0
- présent  °;0;0;0
- Soins néonatals;0;0;0
, 75002 Paris  MES;0;0;0
, 75000 Paris;0;0;0
N'oubliez pas de montrer également un véritable enthousiasme pour le travail.;0;0;0
| FÉVRIER 2013;0;0;0
-;0;0;0
- Bénéficiaire de la bourse de la fondation MAKE  ;0;0;0
-2017  Formation  Ecole d'Ingénieurs, Arts et Métiers Diplôme d'Ingénieur 2014  Spécialisation bois et acier  Lycée Bellevue 2011-2014;0;0;0
RICHARD CALAIS  BREST, BRETAGNE  FORMATION  ;0;0;0
- Architecture système améliorée en continu  PARCOURS;0;0;0
Je fais également du maquillage, du design de scène, du design de production et du design de costume.;0;0;0
- présent  - Aide avec tous les aspects des soins aux patients : le diagnostic, les traitements et les consultations médicales;0;0;0
@canvasupersite  EXPÉRIENCE PROFESSIONNELLE     ;0;0;0
EMMA GIRAUD  ;0;1;1
M = 2.Supervision et formation des autres charpentiers  3.Prise en charge des réparations structurelles  CRETE;0;0;0
LCR Eu Re LOC HER;0;0;0
Licence en Sciences | Juin 2009;0;0;0
Profil  ;0;0;0
Photographe Senior;0;0;0
Elan a Te A M ARTE Desaix, 75110 Paris     ;0;0;0
Diplôme national de l'enseignement supérieur  ;0;0;0
.000e  OCT;0;0;0
- Présidente du club de débat du lycée 2006 - 2008;0;0;0
Illustration;0;0;0
+ Créé des concepts pour les principaux clients tels que la production de musique de Némo et plus encore.;0;0;0
techniques et FORMATION réglementaires;0;0;0
0 PERCIG RÉEL, MOOOO MANIERE;0;0;0
Vidéographie Mise en page ...;0;0;0
sécurité environnement Sodexy |!;0;0;0
CUS;0;0;0
- Vice-Présidente du conseil des délégués de la vie lycéenne;0;0;0
Travailleur indépendant  * Travaille bien avec des échéances  .;0;0;0
 ;0;0;0
Lycée de Condorcet  Centre d'apprentissage spécialisé] juin 2004;0;0;0
• Modifier des photos pour des clients, des magazines et des réseaux sociaux.;0;0;0
- Prix d'études de première année  ;0;0;0
Coordonnées;0;0;0
Video;0;0;0
ASSISTANTE D'ÉDITION;0;0;0
Servir d'enseignante suppléante au département des sciences, en l'absence d'autres enseignants;0;0;0
REMARQUABLE Communications de Condorcet;0;0;0
- Bonne compréhension de la terminologie et des principes des  données financières;0;0;0
Machine à presse;0;0;0
PROFIL PERSONNEL  Je suis une éducatrice expérimentée et dévouée qui se concentre sur le soutien du développement holistique des étudiants pour leur permettre d'atteindre leur potentiel.;0;0;0
| Diplômée en juin 2016;0;0;0
Je maîtrise parfaitement C #, Java et Ruby.;0;0;0
